Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	422eb882-b7c9-4c71-a57e-8135d299c75e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	114.67	485.24	1990.3146	422.5056	4179.2471	373.3639	0.6784	24.9862
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	07085a7e-cc90-47ad-9460-6f352fa4e887	Detection		NeuN: Ignore*	Root object (Image)	Polygon	314.51	419.38	1843.9333	1243.3778	3515.2888	370.1122	0.6375	26.6269
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	a41c53a7-f794-4dda-802c-e453ef1b9536	Detection		NeuN: Ignore*	Root object (Image)	Polygon	213.14	161.43	1634.9773	399.1364	5583.2842	366.8568	0.5952	29.0407
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	ea4aa9b4-8992-43ee-a51b-be7e6ae0c74f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	351.88	372.89	2201.1704	389.9773	2759.9319	363.4827	0.6069	28.7155
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	030da1ce-b331-404b-8c75-70a9238499aa	Detection		NeuN: Ignore*	Root object (Image)	Polygon	487.23	271.63	1762.3452	462.8571	4683.4883	362.534	0.5897	27.3015
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	70161d7b-d8cf-49d1-883c-1d3b002470b1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	222.46	240.25	1810.7701	416.2989	4729.0688	359.0956	0.611	27.9496
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	1cc8a59f-6cc6-42c2-a1d0-2c03a4c981ea	Detection		NeuN: Ignore*	Root object (Image)	Polygon	336.43	457.23	2252.7739	447.9048	3051.1548	357.8692	0.5532	31.5808
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	53a1c127-9426-4c9e-998e-7ce08c12d5a6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	342.5	319.03	2418.3069	432.2727	5160.8979	357.1081	0.6838	26.4025
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	76cea607-7c1f-4d1e-ad7a-9380ed977d04	Detection		NeuN: Ignore*	Root object (Image)	Polygon	166.73	530.18	2373.7559	416.907	5691.7793	355.3539	0.6514	25.3195
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	5841323d-5b3a-4195-ad16-abab0fd94956	Detection		NeuN: Ignore*	Root object (Image)	Polygon	200.78	88.46	1853.069	431.6322	5137.1377	352.3906	0.6123	27.8652
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	f4a51a72-c4e6-4a6c-a82a-787b92a6c377	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	392.82	223.31	4006.3796	435.1013	4584.5825	348.7427	0.6933	26.3313
