Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	1a08c1ea-4276-4f65-bc56-ae3158c15e5b	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	297.73	539.68	4387.8311	418.325	3819.6187	649.6175	0.6068	34.8106
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	2bcf7314-ca7a-4c27-bd6c-b9bdad274b7a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	775.17	569.22	2872.7786	578.4367	4909.2344	644.2484	0.5247	35.5871
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	5a0b3c04-dff4-43dd-ae3c-d2eaa1ea542a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	832.99	436.8	3529.8535	397.5478	4725.3501	643.7761	0.5663	38.7642
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	1daa13aa-49a7-4cd1-ab23-f7476650a1ef	Detection		NeuN: Ignore*	Root object (Image)	Polygon	706.49	317.59	2841	611.8165	8599.7783	643.3604	0.5801	37.272
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	b309b4b3-63fb-435e-a487-e869047f4eb0	Detection		NeuN: Ignore*	Root object (Image)	Polygon	899.31	783.52	1917.4523	509.4395	4718.4141	640.7592	0.5351	40.6062
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	3670bf59-a066-478e-8338-1f8f7ee66933	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	760.84	830.05	2544.0264	6919.4146	1521.3092	636.3616	0.4497	47.4595
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	f18b84c0-8a62-4f1f-9d1f-f3356c82f0cb	Detection		NeuN: Ignore*	Root object (Image)	Polygon	562.52	371.37	1599.0649	390.6364	6159.5454	613.1209	0.6582	32.866
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	fb997f00-dc0d-4c69-928d-e2259a171cea	Detection		NeuN: Ignore*	Root object (Image)	Polygon	425.86	383.55	2083.1882	554.7338	6254.9546	632.4988	0.6128	35.4177
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	50a1e796-4fb9-4cf1-a2b8-6b03828f4723	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	550.31	689.87	2222.5527	10123.4805	1525.625	627.4917	0.6641	33.8121
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	e18f2ca8-3d7a-4e09-b29d-941957cf7e9d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	488.37	402.66	3990.1782	364.6369	6830.1782	624.497	0.6357	33.4472
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	bebdef67-8d4c-4e52-b4a4-7b56711f79a2	Detection		NeuN: Ignore*	Root object (Image)	Polygon	949.8	626.01	3091.729	391.9613	5011.5483	624.7504	0.6922	34.7289
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	03805196-9b20-4c24-b781-b76b9b55d598	Detection		NeuN: Ignore*	Root object (Image)	Polygon	514.08	378.17	1443.0806	360.2617	2319.4294	622.3707	0.6102	37.9652
